"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"7442",7442,"MATH&142","B012","4",4,"B014","",4,16,16,98,NA,"64",NA,"",NA,917
"7443",7443,"MATH&141","B014","0.9",0.9,"B124","",1.9,10,10,91,NA,"60",NA,"",NA,11916
"7444",7444,"MATH147","B012","0",0,"B124","12/8/2010",2.67,15,10,91,NA,"60",NA,"",NA,11916
"7445",7445,"MATH147","B123","3.4",3.4,"B124","",3.6,15,15,91,NA,"60",NA,"",NA,11916
"7446",7446,"MATH072","B012","2",2,"B124","",2.93,20,20,89,64,"66",NA,"",NA,9078
"7447",7447,"MATH062","B011","0",0,"B012","7/6/2010",0,15,0,91,40,"15",NA,"",NA,496
"7448",7448,"MATH&141","B011","3.8",3.8,"B341","",3.8,5,5,93,NA,"27",NA,"",NA,639
"7449",7449,"MATH&142","B013","1.1",1.1,"B341","",1.85,17,17,93,NA,"27",NA,"",NA,639
"7450",7450,"MATH&142","B012","0.7",0.7,"B013","",0.35,15,5,90,NA,"58",NA,"",NA,1164
"7451",7451,"MATH&151","B013","W",NA,"B013","2/1/2011",0,7,0,90,NA,"58",NA,"",NA,1164
"7452",7452,"MATH070","B121","2.7",2.7,"B234","",3.35,10,10,88,58,"17",NA,"",NA,11620
"7453",7453,"MATH070","B012","3.5",3.5,"B014","",3.29,12,12,72,44,"21",NA,"",NA,5783
"7454",7454,"MATH072","B013","W",NA,"B014","2/18/2011",0,15,0,72,44,"21",NA,"",NA,5783
"7455",7455,"MATH062","B014","3.8",3.8,"B124","",3.33,15,15,77,31,"16",NA,"",NA,7158
"7456",7456,"MATH070","B122","0",0,"B124","12/8/2011",1.85,15,5,77,31,"16",NA,"",NA,7158
"7457",7457,"MATH097","B012","3.1",3.1,"B123","",3.4,15,15,96,74,"22",NA,"",280,8775
"7458",7458,"MATH147","B013","2.2",2.2,"B123","",3.27,15,15,96,74,"22",NA,"",280,8775
"7459",7459,"MATH&141","B122","3",3,"B231","",3.6,20,15,99,NA,"60",NA,"",NA,3881
"7460",7460,"MATH097","B121","3.7",3.7,"B231","",3.85,10,10,99,NA,"60",NA,"",NA,3881
"7461",7461,"MATH&151","B013","W",NA,"B122","2/25/2011",4,21,5,99,NA,"",52,"51",NA,2403
"7462",7462,"MATH&142","B011","3.5",3.5,"B341","",3.5,5,5,96,NA,"27",NA,"",NA,3044
"7463",7463,"MATH&151","B012","3.5",3.5,"B341","",3.5,15,15,96,NA,"27",NA,"",NA,3044
"7464",7464,"MATH&141","B122","2.6",2.6,"B231","",2.27,12,12,99,NA,"",NA,"",NA,5625
"7465",7465,"MATH072","B014","2.5",2.5,"B344","",2.67,15,15,89,34,"22",NA,"",NA,5919
"7466",7466,"MATH097","B121","1.1",1.1,"B344","",1.1,5,5,89,34,"22",NA,"",NA,5919
"7467",7467,"MATH097","B123","1.7",1.7,"B344","",1.7,13,5,89,34,"22",NA,"",NA,5919
"7468",7468,"MATH062","B234","0",0,"B341","5/8/2013",0,10,0,85,35,"23",NA,"",NA,4685
"7469",7469,"MATH&151","B012","2",2,"B014","",3.35,17,17,97,NA,"53",NA,"",NA,1868
"7470",7470,"MATH072","B122","2.1",2.1,"B233","",2.1,5,5,90,NA,"46",NA,"",NA,2582
"7471",7471,"MATH072","B123","3.2",3.2,"B233","",2.57,20,15,90,NA,"46",NA,"",NA,2582
"7472",7472,"MATH097","B124","0",0,"B233","5/15/2012",0.7,10,5,90,NA,"46",NA,"",NA,2582
"7473",7473,"MATH097","B231","1",1,"B233","",1,5,5,90,NA,"46",NA,"",NA,2582
"7474",7474,"MATH097","B232","2",2,"B233","",2,5,5,90,NA,"46",NA,"",NA,2582
"7475",7475,"MATH&142","B011","2",2,"B344","",2,5,5,90,NA,"66",NA,"",NA,9812
"7476",7476,"MATH&151","B013","0",0,"B344","3/16/2011",0.47,15,5,90,NA,"66",NA,"",NA,9812
"7477",7477,"MATH&151","B121","0.4",0.4,"B344","",0.4,5,0,90,NA,"66",NA,"",NA,9812
"7478",7478,"MATH&151","B124","0",0,"B344","6/1/2012",0.3,10,0,90,NA,"66",NA,"",NA,9812
"7479",7479,"MATH&107","B012","1.5",1.5,"B014","",2.47,15,15,80,33,"16",NA,"",NA,11356
"7480",7480,"MATH097","B011","3.7",3.7,"B014","",2.93,12,7,80,33,"16",NA,"",NA,11356
"7481",7481,"MATH147","B011","2.7",2.7,"B341","",3,15,15,90,NA,"79",55,"",NA,1199
"7482",7482,"MATH072","B014","W",NA,"B014","4/15/2011",0,10,0,87,NA,"32",NA,"",NA,6271
"7483",7483,"MATH&142","B012","2.2",2.2,"B344","",2.14,15,12,99,NA,"95",76,"54",NA,6595
"7484",7484,"MATH&151","B013","0",0,"B344","3/16/2011",0,8,0,99,NA,"95",76,"54",NA,6595
"7485",7485,"MATH&142","B013","0.3",0.3,"B014","",0.5,16,6,89,NA,"55",NA,"",380,12047
"7486",7486,"MATH097","B012","2.5",2.5,"B014","",3.1,10,10,71,NA,"61",NA,"",NA,4980
"7487",7487,"MATH&141","B124","3.5",3.5,"B124","",3.5,5,5,88,NA,"59",NA,"",485,1908
"7488",7488,"MATH072","B014","4",4,"B124","",4,10,10,88,NA,"59",NA,"",485,1908
"7489",7489,"MATH070","B122","0.1",0.1,"B123","",0.43,20,5,71,25,"15",NA,"",NA,8701
"7490",7490,"MATH097","B012","4",4,"B122","",3.71,14,14,86,NA,"72",NA,"",350,10677
"7491",7491,"MATH&142","B011","1.3",1.3,"B233","",1.3,5,5,84,NA,"39",NA,"",NA,6569
"7492",7492,"MATH&142","B013","2",2,"B233","",1.55,10,10,84,NA,"39",NA,"",NA,6569
"7493",7493,"MATH147","B124","2.6",2.6,"B233","",3.25,12,12,84,NA,"39",NA,"",NA,6569
"7494",7494,"MATH072","B014","1.6",1.6,"B014","",1.2,10,10,91,NA,"34",NA,"",NA,8068
"7495",7495,"MATH070","B122","3.5",3.5,"B342","",3.2,10,10,90,40,"17",NA,"",NA,3636
"7496",7496,"MATH072","B123","2.9",2.9,"B342","",2.8,13,13,90,40,"17",NA,"",NA,3636
"7497",7497,"MATH070","B124","3.4",3.4,"B234","",3.45,10,10,99,52,"",NA,"",NA,8833
"7498",7498,"MATH&107","B341","2.8",2.8,"B343","",1.6,15,15,91,NA,"48",NA,"",NA,3062
"7499",7499,"MATH&141","B124","0.1",0.1,"B343","",0.05,10,0,91,NA,"48",NA,"",NA,3062
"7500",7500,"MATH&141","B232","0",0,"B343","12/5/2012",0,5,0,91,NA,"48",NA,"",NA,3062
"7501",7501,"MATH072","B013","3",3,"B343","",2.75,10,10,91,NA,"48",NA,"",NA,3062
"7502",7502,"MATH097","B122","2.5",2.5,"B343","",3.17,15,15,91,NA,"48",NA,"",NA,3062
"7503",7503,"MATH147","B233","0",0,"B343","3/21/2013",2.83,20,15,91,NA,"48",NA,"",NA,3062
"7504",7504,"MATH&151","B011","2.2",2.2,"B014","",2.2,5,5,93,NA,"76",25,"",NA,10933
"7505",7505,"MATH&141","B124","2.1",2.1,"B344","",2.1,5,5,79,71,"22",NA,"",NA,5750
"7506",7506,"MATH097","B013","W",NA,"B344","1/27/2011",0,10,0,79,71,"22",NA,"",NA,5750
"7507",7507,"MATH097","B123","3.1",3.1,"B344","",3.1,5,5,79,71,"22",NA,"",NA,5750
"7508",7508,"MATH&141","B014","3",3,"B233","",1.5,15,5,94,NA,"49",NA,"",NA,12349
"7509",7509,"MATH&142","B122","1.3",1.3,"B233","",1.3,15,5,94,NA,"49",NA,"",NA,12349
"7510",7510,"MATH097","B013","2.7",2.7,"B233","",1.03,15,5,94,NA,"49",NA,"",NA,12349
"7511",7511,"MATH070","B011","3.5",3.5,"B233","",3.79,12,12,85,NA,"",NA,"",NA,4260
"7512",7512,"MATH072","B121","3.3",3.3,"B233","",3.6,15,15,85,NA,"",NA,"",NA,4260
"7513",7513,"MATH&142","B012","3",3,"B123","",2.83,15,15,92,NA,"45",NA,"",NA,2302
"7514",7514,"MATH147","B012","4",4,"B014","",3.85,20,20,99,NA,"97",77,"39",NA,1539
"7515",7515,"MATH&107","B124","4",4,"B343","",3.38,20,20,86,NA,"90",66,"",NA,6610
"7516",7516,"MATH&142","B231","2.6",2.6,"B343","",2.54,13,13,86,NA,"90",66,"",NA,6610
"7517",7517,"MATH&142","B012","3.8",3.8,"B122","",3.91,16,16,99,NA,"78",49,"",NA,7031
"7518",7518,"MATH&151","B013","4",4,"B122","",3.76,14,14,99,NA,"78",49,"",NA,7031
"7519",7519,"MATH072","B122","3.4",3.4,"B122","",3.4,10,5,81,NA,"40",NA,"",NA,5099
"7520",7520,"MATH&141","B233","3",3,"B343","",3.35,10,10,99,NA,"66",NA,"",NA,11960
"7521",7521,"MATH097","B232","3.3",3.3,"B343","",3.6,15,15,99,NA,"66",NA,"",NA,11960
"7522",7522,"MATH072","B124","4",4,"B344","",3.9,10,10,98,NA,"34",NA,"",NA,2962
"7523",7523,"MATH070","B011","2.5",2.5,"B012","",2.5,5,5,68,25,"15",NA,"",NA,9674
"7524",7524,"MATH072","B012","W",NA,"B012","10/28/2010",0,10,0,68,25,"15",NA,"",NA,9674
"7525",7525,"MATH070","B231","3.7",3.7,"B343","",3.6,10,10,89,64,"21",NA,"",NA,11988
"7526",7526,"MATH072","B232","0",0,"B343","8/10/2012",2.57,15,10,89,64,"21",NA,"",NA,11988
"7527",7527,"MATH072","B233","0",0,"B343","3/18/2013",1.75,15,5,89,64,"21",NA,"",NA,11988
"7528",7528,"MATH072","B234","2.9",2.9,"B343","",2.23,15,15,89,64,"21",NA,"",NA,11988
"7529",7529,"MATH&141","B124","W",NA,"B231","5/7/2012",3.4,20,15,95,39,"31",NA,"",NA,5022
"7530",7530,"MATH&141","B231","2",2,"B231","",2,10,5,95,39,"31",NA,"",NA,5022
"7531",7531,"MATH072","B013","2.9",2.9,"B231","",3.4,15,15,95,39,"31",NA,"",NA,5022
"7532",7532,"MATH097","B014","1.8",1.8,"B231","",1.97,20,10,95,39,"31",NA,"",NA,5022
"7533",7533,"MATH097","B122","W",NA,"B231","11/7/2011",0,20,0,95,39,"31",NA,"",NA,5022
"7534",7534,"MATH097","B123","3.4",3.4,"B231","",2.97,18,18,95,39,"31",NA,"",NA,5022
"7535",7535,"MATH072","B342","3",3,"B344","",3,5,5,89,NA,"31",NA,"",NA,3374
"7536",7536,"MATH072","B014","0",0,"B014","4/28/2011",0,15,0,88,NA,"39",NA,"",NA,7482
"7537",7537,"MATH&107","B014","2.5",2.5,"B122","",2.96,17,17,95,NA,"34",NA,"",NA,7834
"7538",7538,"MATH&141","B012","2.5",2.5,"B121","",3.2,15,15,83,NA,"43",NA,"",NA,3307
"7539",7539,"MATH097","B012","4",4,"B014","",3.8,15,15,91,NA,"69",NA,"",NA,12109
"7540",7540,"MATH072","B012","0.5",0.5,"B014","",1.8,20,10,91,NA,"54",NA,"",NA,7206
"7541",7541,"MATH072","B122","3.5",3.5,"B123","",1.75,15,5,87,NA,"55",NA,"",NA,11087
"7542",7542,"MATH&142","B013","2.6",2.6,"B123","",2.83,20,20,87,NA,"66",NA,"",NA,11125
"7543",7543,"MATH&151","B014","2.4",2.4,"B123","",3,15,15,87,NA,"66",NA,"",NA,11125
"7544",7544,"MATH&142","B012","2.5",2.5,"B014","",3.6,20,20,91,NA,"38",NA,"",NA,3034
"7545",7545,"MATH&151","B013","0.1",0.1,"B014","",2.55,20,15,91,NA,"38",NA,"",NA,3034
"7546",7546,"MATH&151","B014","1.5",1.5,"B014","",2.67,18,18,91,NA,"38",NA,"",NA,3034
"7547",7547,"MATH&141","B012","4",4,"B014","",4,20,20,90,NA,"53",NA,"",NA,5618
"7548",7548,"MATH&142","B013","2",2,"B014","",3.08,20,20,90,NA,"53",NA,"",NA,5618
"7549",7549,"MATH&151","B011","1.8",1.8,"B014","",1.75,11,11,95,NA,"95",22,"",NA,1132
"7550",7550,"MATH&151","B012","1.6",1.6,"B014","",2.56,16,16,95,NA,"95",22,"",NA,1132
"7551",7551,"MATH097","B013","3.2",3.2,"B122","",3.15,10,10,96,NA,"59",NA,"",NA,8397
"7552",7552,"MATH&141","B012","3.2",3.2,"B014","",3.17,15,15,91,56,"16",NA,"",NA,11139
"7553",7553,"MATH&141","B124","3.6",3.6,"B124","",3.7,10,10,95,NA,"94",72,"",NA,1872
"7554",7554,"MATH097","B014","2",2,"B343","",2.87,15,15,86,56,"22",NA,"",NA,4661
"7555",7555,"MATH097","B122","2.1",2.1,"B343","",3.1,15,15,86,56,"22",NA,"",NA,4661
"7556",7556,"MATH147","B122","3.5",3.5,"B343","",3.1,15,15,86,56,"22",NA,"",NA,4661
"7557",7557,"MATH&107","B013","2.7",2.7,"B014","",3.03,17,17,91,47,"28",NA,"",NA,10302
"7558",7558,"MATH&141","B011","2.6",2.6,"B014","",3,10,10,90,NA,"55",NA,"",NA,22
"7559",7559,"MATH&142","B014","1.8",1.8,"B014","",3.17,15,15,90,NA,"55",NA,"",NA,22
"7560",7560,"MATH&107","B232","3.2",3.2,"B342","",2.53,18,18,94,NA,"38",NA,"",NA,7824
"7561",7561,"MATH072","B122","3.1",3.1,"B342","",3.18,20,20,94,NA,"38",NA,"",NA,7824
"7562",7562,"MATH097","B123","0",0,"B342","3/16/2012",1.1,20,15,94,NA,"38",NA,"",NA,7824
"7563",7563,"MATH097","B124","2.3",2.3,"B342","",1.21,17,12,94,NA,"38",NA,"",NA,7824
"7564",7564,"MATH&151","B012","1.2",1.2,"B121","",2.23,16,16,89,75,"65",NA,"",NA,7405
"7565",7565,"MATH&141","B012","3.7",3.7,"B014","",3.6,15,15,92,NA,"79",36,"",NA,10088
"7566",7566,"MATH&142","B013","2.7",2.7,"B014","",3.52,17,17,92,NA,"79",36,"",NA,10088
"7567",7567,"MATH&141","B011","4",4,"B012","",3.9,15,15,92,61,"30",NA,"",NA,7410
"7568",7568,"MATH&142","B012","2.8",2.8,"B012","",3,15,15,92,61,"30",NA,"",NA,7410
"7569",7569,"MATH070","B011","0",0,"B122","7/27/2010",0,12,0,96,31,"",NA,"",NA,3184
"7570",7570,"MATH&141","B011","3.3",3.3,"B341","",3.3,5,5,72,NA,"42",NA,"",NA,9632
"7571",7571,"MATH&142","B012","NC",NA,"B341","11/1/2010",3.4,10,5,72,NA,"42",NA,"",NA,9632
"7572",7572,"MATH&142","B013","1.5",1.5,"B341","",1.75,10,10,72,NA,"42",NA,"",NA,9632
"7573",7573,"MATH&142","B341","3.2",3.2,"B341","",3.2,5,5,72,NA,"42",NA,"",NA,9632
"7574",7574,"MATH097","B124","3.4",3.4,"B124","",3.1,15,15,88,NA,"32",NA,"",NA,5978
"7575",7575,"MATH&141","B233","0",0,"B344","3/20/2013",2,10,5,99,NA,"77",40,"",NA,6294
"7576",7576,"MATH&141","B342","0",0,"B344","11/1/2013",0,10,0,99,NA,"77",40,"",NA,6294
"7577",7577,"MATH097","B232","3",3,"B344","",3.5,10,10,99,NA,"77",40,"",NA,6294
"7578",7578,"MATH&142","B123","4",4,"B344","",4,5,5,91,69,"71",NA,"",NA,4044
"7579",7579,"MATH&151","B124","3.9",3.9,"B344","",3.9,5,5,91,69,"71",NA,"",NA,4044
"7580",7580,"MATH147","B341","0",0,"B341","8/15/2013",1,10,5,90,NA,"49",NA,"",NA,11171
"7581",7581,"MATH&107","B014","2.5",2.5,"B014","",2.55,20,20,82,NA,"43",NA,"",NA,1297
"7582",7582,"MATH147","B012","2.9",2.9,"B342","",3.5,15,15,94,69,"25",NA,"",NA,1194
"7583",7583,"MATH&107","B342","W",NA,"B343","10/13/2013",0,10,0,91,37,"16",NA,"",NA,9119
"7584",7584,"MATH062","B012","2.6",2.6,"B343","",2.6,10,10,91,37,"16",NA,"",NA,9119
"7585",7585,"MATH070","B013","2.2",2.2,"B343","",2.85,10,10,91,37,"16",NA,"",NA,9119
"7586",7586,"MATH072","B122","2.5",2.5,"B343","",1.25,10,5,91,37,"16",NA,"",NA,9119
"7587",7587,"MATH097","B123","2.1",2.1,"B343","",2.1,5,5,91,37,"16",NA,"",NA,9119
"7588",7588,"MATH072","B011","3.9",3.9,"B014","",3.9,5,5,81,69,"18",NA,"",NA,1398
"7589",7589,"MATH097","B012","0",0,"B014","12/2/2010",3.4,15,5,81,69,"18",NA,"",NA,1398
"7590",7590,"MATH147","B012","3.8",3.8,"B124","",3.83,15,15,97,NA,"86",70,"",NA,2100
"7591",7591,"MATH&107","B233","4",4,"B233","",3.9,10,10,86,NA,"94",45,"",375,7262
"7592",7592,"MATH072","B231","4",4,"B233","",4,5,5,86,NA,"94",45,"",375,7262
"7593",7593,"MATH097","B232","4",4,"B233","",4,8,8,86,NA,"94",45,"",375,7262
"7594",7594,"MATH&141","B012","3.7",3.7,"B343","",3.25,10,10,94,NA,"47",NA,"",NA,5410
"7595",7595,"MATH&142","B013","2.4",2.4,"B343","",2.18,13,13,94,NA,"47",NA,"",NA,5410
"7596",7596,"MATH&141","B014","2.8",2.8,"B123","",3.38,20,20,69,NA,"32",NA,"",NA,1366
"7597",7597,"MATH097","B012","4",4,"B123","",3.9,15,15,69,NA,"32",NA,"",NA,1366
"7598",7598,"MATH&141","B013","4",4,"B232","",3.75,18,18,90,NA,"48",NA,"",NA,12617
"7599",7599,"MATH097","B012","3.7",3.7,"B232","",3.86,18,18,90,NA,"48",NA,"",NA,12617
"7600",7600,"MATH062","B014","3.6",3.6,"B121","",2.7,10,10,78,49,"24",NA,"",NA,12309
"7601",7601,"MATH072","B232","3.6",3.6,"B343","",3.2,10,10,92,NA,"52",NA,"",370,5774
"7602",7602,"MATH097","B233","2.3",2.3,"B343","",2.3,5,5,92,NA,"52",NA,"",370,5774
"7603",7603,"MATH147","B234","1.6",1.6,"B343","",1.7,10,10,92,NA,"52",NA,"",370,5774
"7604",7604,"MATH&107","B013","4",4,"B014","",3.88,16,16,89,NA,"66",NA,"",NA,4064
"7605",7605,"MATH&107","B014","3.1",3.1,"B014","",2.88,22,22,92,NA,"70",NA,"",430,11287
"7606",7606,"MATH072","B012","2.5",2.5,"B014","",2.72,18,18,92,NA,"70",NA,"",430,11287
"7607",7607,"MATH097","B013","1.2",1.2,"B014","",2.22,18,18,92,NA,"70",NA,"",430,11287
"7608",7608,"MATH070","B014","W",NA,"B014","",0,15,0,99,59,"23",NA,"",NA,10305
"7609",7609,"MATH&151","B012","1",1,"B123","",2.72,18,18,99,NA,"92",53,"",NA,8358
"7610",7610,"MATH&141","B011","3.2",3.2,"B123","",3.6,15,15,97,73,"16",NA,"",NA,2745
"7611",7611,"MATH&142","B013","0.1",0.1,"B123","",3.03,20,15,97,73,"16",NA,"",NA,2745
"7612",7612,"MATH&141","B013","1.5",1.5,"B121","",2.41,18,18,90,52,"26",NA,"",NA,9487
"7613",7613,"MATH072","B011","0",0,"B122","8/2/2010",2,12,5,97,80,"19",NA,"",NA,12519
"7614",7614,"MATH072","B012","W",NA,"B122","11/12/2010",3.81,20,15,97,80,"19",NA,"",NA,12519
"7615",7615,"MATH072","B013","2.9",2.9,"B122","",3.49,17,17,97,80,"19",NA,"",NA,12519
"7616",7616,"MATH070","B122","0",0,"B343","11/2/2011",0,5,0,95,55,"26",NA,"",NA,1937
"7617",7617,"MATH070","B232","2.7",2.7,"B343","",2.7,5,5,95,55,"26",NA,"",NA,1937
"7618",7618,"MATH&151","B012","3.3",3.3,"B234","",3.81,18,18,94,NA,"90",51,"",NA,5259
"7619",7619,"MATH&141","B012","0",0,"B344","10/28/2010",0,5,0,86,93,"50",NA,"",NA,10999
"7620",7620,"MATH&141","B013","4",4,"B231","",3.81,13,13,95,NA,"83",59,"",NA,12541
"7621",7621,"MATH147","B014","4",4,"B231","",4,15,15,95,NA,"83",59,"",NA,12541
"7622",7622,"MATH062","B012","4",4,"B124","",3.87,15,15,99,46,"19",26,"",NA,6475
"7623",7623,"MATH070","B121","4",4,"B124","",3.85,10,10,99,46,"19",26,"",NA,6475
"7624",7624,"MATH072","B122","3.7",3.7,"B124","",3.22,12,12,99,46,"19",26,"",NA,6475
"7625",7625,"MATH097","B123","3.5",3.5,"B124","",3.65,13,8,99,46,"19",26,"",NA,6475
"7626",7626,"MATH&141","B012","4",4,"B014","",3.9,15,15,98,NA,"88",34,"",NA,9207
"7627",7627,"MATH147","B232","W",NA,"B234","10/28/2012",0,15,0,94,NA,"46",NA,"",NA,3938
"7628",7628,"MATH&142","B342","0",0,"B342","10/11/2013",0,10,0,97,NA,"69",NA,"",NA,8712
"7629",7629,"MATH&142","B013","3.7",3.7,"B014","",3.85,10,10,91,NA,"97",75,"48",NA,12096
"7630",7630,"MATH&151","B014","4",4,"B014","",3.5,10,10,91,NA,"97",75,"48",NA,12096
"7631",7631,"MATH147","B014","3.7",3.7,"B014","",3.39,18,18,87,NA,"69",NA,"",NA,5142
"7632",7632,"MATH&141","B121","3.3",3.3,"B341","",3.37,15,15,87,NA,"73",NA,"",NA,12259
"7633",7633,"MATH&141","B012","0",0,"B014","10/15/2010",0,16,0,71,33,"31",NA,"",385,6293
"7634",7634,"MATH&142","B122","0.1",0.1,"B123","",1.2,15,5,95,NA,"47",NA,"",NA,6088
"7635",7635,"MATH&141","B234","3",3,"B343","",3.33,11,11,91,51,"42",NA,"",NA,7953
"7636",7636,"MATH072","B123","3.9",3.9,"B343","",3.9,5,5,91,51,"42",NA,"",NA,7953
"7637",7637,"MATH097","B124","3.4",3.4,"B343","",3.65,10,10,91,51,"42",NA,"",NA,7953
"7638",7638,"MATH072","B012","4",4,"B344","",4,10,10,99,NA,"48",NA,"",NA,10847
"7639",7639,"MATH097","B013","3.9",3.9,"B344","",3.95,10,10,99,NA,"48",NA,"",NA,10847
"7640",7640,"MATH&107","B014","3.6",3.6,"B014","",3.42,20,20,94,NA,"94",68,"",NA,8460
"7641",7641,"MATH&141","B012","W",NA,"B124","10/28/2010",2.33,16,11,87,NA,"57",NA,"",NA,7524
"7642",7642,"MATH097","B121","4",4,"B124","",3.88,20,20,87,NA,"57",NA,"",NA,7524
"7643",7643,"MATH147","B122","3.9",3.9,"B124","",3.19,18,18,87,NA,"57",NA,"",NA,7524
"7644",7644,"MATH&141","B014","3.1",3.1,"B014","",3.6,15,15,87,NA,"37",NA,"",NA,764
"7645",7645,"MATH097","B013","3.6",3.6,"B014","",3.45,15,15,87,NA,"37",NA,"",NA,764
"7646",7646,"MATH&141","B011","0",0,"B122","8/12/2010",0,5,0,93,NA,"29",NA,"",NA,4485
"7647",7647,"MATH&142","B012","4",4,"B014","",4,5,5,93,NA,"98",28,"",NA,1276
"7648",7648,"MATH&141","B123","2.2",2.2,"B124","",2.23,15,15,96,NA,"34",NA,"",NA,1216
"7649",7649,"MATH&142","B124","NC",NA,"B124","6/13/2012",3.66,14,9,96,NA,"34",NA,"",NA,1216
"7650",7650,"MATH147","B013","2.4",2.4,"B124","",2.4,5,5,96,NA,"34",NA,"",NA,1216
"7651",7651,"MATH097","B013","3.5",3.5,"B343","",3.15,20,20,99,NA,"69",NA,"",NA,6229
"7652",7652,"MATH070","B013","0",0,"B013","1/8/2011",0,13,0,91,60,"18",NA,"",NA,5925
"7653",7653,"MATH&151","B012","3.6",3.6,"B234","",3.85,13,13,93,NA,"76",65,"",NA,3243
"7654",7654,"MATH&151","B231","3.2",3.2,"B344","",3.6,10,10,99,NA,"97",75,"57",NA,3644
"7655",7655,"MATH072","B122","2.7",2.7,"B232","",2.5,15,15,72,NA,"32",NA,"",NA,11547
"7656",7656,"MATH097","B123","0",0,"B232","3/15/2012",0.8,15,5,72,NA,"32",NA,"",NA,11547
"7657",7657,"MATH097","B013","3",3,"B343","",3.33,15,15,71,46,"33",NA,"",NA,1645
"7658",7658,"MATH097","B011","1.6",1.6,"B012","",1.03,15,10,80,NA,"29",NA,"",NA,387
"7659",7659,"MATH097","B124","3.9",3.9,"B342","",3.67,15,15,92,NA,"96",46,"",NA,2363
"7660",7660,"MATH147","B232","3.8",3.8,"B342","",3.5,15,15,92,NA,"96",46,"",NA,2363
"7661",7661,"MATH&107","B012","3.5",3.5,"B232","",3.5,17,17,96,NA,"66",NA,"",NA,10178
"7662",7662,"MATH&142","B012","3.6",3.6,"B014","",3.77,15,15,99,NA,"46",NA,"",NA,6655
"7663",7663,"MATH&142","B011","1.6",1.6,"B122","",1.6,5,5,87,80,"15",NA,"",NA,5229
"7664",7664,"MATH147","B124","4",4,"B234","",3.8,20,20,97,NA,"85",84,"36",NA,5208
"7665",7665,"MATH&151","B012","3.6",3.6,"B014","",3.77,15,15,92,NA,"34",NA,"",NA,8748
"7666",7666,"MATH147","B124","1.3",1.3,"B343","",2.17,15,15,89,NA,"41",NA,"",390,5161
"7667",7667,"MATH147","B233","W",NA,"B343","2/19/2013",2.95,15,10,89,NA,"41",NA,"",390,5161
"7668",7668,"MATH&151","B012","3.1",3.1,"B121","",3.75,18,18,94,NA,"86",36,"",NA,2559
"7669",7669,"MATH072","B124","4",4,"B344","",4,10,10,94,NA,"59",NA,"",467,2749
"7670",7670,"MATH072","B012","1.8",1.8,"B122","",1.5,15,10,88,42,"25",NA,"",265,3368
"7671",7671,"MATH147","B012","3.6",3.6,"B124","",3.2,15,15,95,NA,"34",NA,"",NA,10434
"7672",7672,"MATH097","B012","0.9",0.9,"B344","",2.27,15,15,94,68,"53",NA,"",NA,3214
"7673",7673,"MATH097","B122","W",NA,"B344","10/31/2011",3.38,13,8,94,68,"53",NA,"",NA,3214
"7674",7674,"MATH097","B012","3.2",3.2,"B231","",3.33,15,15,85,64,"23",NA,"",NA,10937
"7675",7675,"MATH147","B013","2.9",2.9,"B231","",2.9,10,10,85,64,"23",NA,"",NA,10937
"7676",7676,"MATH&142","B013","1.6",1.6,"B124","",2.7,15,15,96,NA,"93",38,"",NA,11663
"7677",7677,"MATH147","B013","2.2",2.2,"B014","",2.93,14,14,90,NA,"49",NA,"",NA,9897
"7678",7678,"MATH&107","B121","0",0,"B122","7/29/2011",1.63,15,10,89,81,"33",NA,"",NA,3139
"7679",7679,"MATH&141","B014","W",NA,"B122","4/15/2011",3.7,15,10,89,81,"33",NA,"",NA,3139
"7680",7680,"MATH072","B011","2.9",2.9,"B122","",3.07,15,15,89,81,"33",NA,"",NA,3139
"7681",7681,"MATH097","B012","3.5",3.5,"B122","",3.12,18,13,89,81,"33",NA,"",NA,3139
"7682",7682,"MATH147","B013","1.3",1.3,"B122","",2.83,12,12,89,81,"33",NA,"",NA,3139
"7683",7683,"MATH&141","B013","3.1",3.1,"B234","",1.93,15,10,99,NA,"",26,"",NA,6696
"7684",7684,"MATH&142","B014","2.7",2.7,"B234","",2.2,20,15,99,NA,"",26,"",NA,6696
"7685",7685,"MATH072","B013","W",NA,"B122","1/31/2011",0,11,0,91,NA,"40",NA,"",NA,11793
"7686",7686,"MATH147","B011","3.2",3.2,"B121","",3.3,10,10,83,NA,"",36,"",NA,10247
"7687",7687,"MATH072","B013","3.8",3.8,"B122","",2.43,15,15,97,NA,"57",NA,"",NA,9363
"7688",7688,"MATH097","B121","3.9",3.9,"B122","",3.9,15,15,97,NA,"57",NA,"",NA,9363
"7689",7689,"MATH&142","B011","4",4,"B014","",4,10,10,98,NA,"87",79,"32",NA,1644
"7690",7690,"MATH&151","B012","4",4,"B014","",4,17,17,98,NA,"87",79,"32",NA,1644
"7691",7691,"MATH&141","B124","3.1",3.1,"B341","",3.5,12,12,95,NA,"68",NA,"",NA,9483
"7692",7692,"MATH097","B123","4",4,"B341","",4,8,8,95,NA,"68",NA,"",NA,9483
