"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12455",12455,"MATH070","B122","0",0,"B122","9/23/2011",0,5,0,73,NA,"35",NA,"",NA,10853
"12456",12456,"MATH&141","B014","2.9",2.9,"B234","",3.2,20,20,86,NA,"26",NA,"",NA,2358
"12457",12457,"MATH&142","B121","2.6",2.6,"B234","",3.15,15,10,86,NA,"26",NA,"",NA,2358
"12458",12458,"MATH&151","B123","0.7",0.7,"B234","",1.23,15,10,86,NA,"26",NA,"",NA,2358
"12459",12459,"MATH&151","B231","2.6",2.6,"B234","",2.6,5,5,86,NA,"26",NA,"",NA,2358
"12460",12460,"MATH072","B012","3.8",3.8,"B234","",3.6,15,15,86,NA,"26",NA,"",NA,2358
"12461",12461,"MATH097","B013","3.4",3.4,"B234","",3.47,15,15,86,NA,"26",NA,"",NA,2358
"12462",12462,"MATH147","B233","4",4,"B234","",3.27,15,15,86,NA,"26",NA,"",NA,2358
"12463",12463,"MATH072","B011","1.9",1.9,"B011","",1.9,10,5,87,62,"24",NA,"",NA,10369
"12464",12464,"MATH&107","B121","W",NA,"B122","7/5/2011",0,15,0,93,NA,"37",NA,"",NA,8163
"12465",12465,"MATH072","B013","3.4",3.4,"B122","",3.4,12,10,93,NA,"37",NA,"",NA,8163
"12466",12466,"MATH097","B014","3.9",3.9,"B122","",3.57,15,15,93,NA,"37",NA,"",NA,8163
"12467",12467,"MATH062","B123","3.8",3.8,"B232","",3.47,15,15,74,35,"18",NA,"",NA,11279
"12468",12468,"MATH070","B124","3.7",3.7,"B232","",3.67,15,15,74,35,"18",NA,"",NA,11279
"12469",12469,"MATH072","B231","0",0,"B232","8/15/2012",1.27,15,10,74,35,"18",NA,"",NA,11279
"12470",12470,"MATH147","B013","2.2",2.2,"B344","",2.93,20,20,94,NA,"76",53,"",NA,9350
"12471",12471,"MATH&141","B122","3.9",3.9,"B234","",3.87,15,15,99,NA,"69",NA,"",NA,1415
"12472",12472,"MATH&142","B123","3.1",3.1,"B234","",3.43,11,11,99,NA,"69",NA,"",NA,1415
"12473",12473,"MATH&151","B124","3.9",3.9,"B234","",3.63,11,11,99,NA,"69",NA,"",NA,1415
"12474",12474,"MATH097","B014","4",4,"B234","",3.94,17,17,99,NA,"69",NA,"",NA,1415
"12475",12475,"MATH&141","B232","W",NA,"B344","10/31/2012",2.73,16,11,91,31,"19",NA,"",NA,7903
"12476",12476,"MATH062","B012","4",4,"B344","",2.97,15,15,91,31,"19",NA,"",NA,7903
"12477",12477,"MATH070","B013","3.7",3.7,"B344","",2.92,17,12,91,31,"19",NA,"",NA,7903
"12478",12478,"MATH072","B014","3.5",3.5,"B344","",3.5,15,10,91,31,"19",NA,"",NA,7903
"12479",12479,"MATH097","B122","2.5",2.5,"B344","",2.65,20,20,91,31,"19",NA,"",NA,7903
"12480",12480,"MATH&141","B014","0",0,"B233","4/8/2011",0,10,0,91,NA,"66",NA,"",NA,818
"12481",12481,"MATH&142","B012","3.1",3.1,"B343","",2.77,15,15,99,NA,"",77,"",NA,10516
"12482",12482,"MATH&151","B013","0.7",0.7,"B343","",2.28,16,16,99,NA,"",77,"",NA,10516
"12483",12483,"MATH&151","B122","2.5",2.5,"B343","",2.77,15,15,99,NA,"",77,"",NA,10516
"12484",12484,"MATH072","B123","2.8",2.8,"B344","",2.8,5,5,87,49,"26",NA,"",NA,2267
"12485",12485,"MATH097","B124","0.5",0.5,"B344","",1.25,10,5,87,49,"26",NA,"",NA,2267
"12486",12486,"MATH097","B233","1.3",1.3,"B344","",3.1,15,15,87,49,"26",NA,"",NA,2267
"12487",12487,"MATH097","B234","2.9",2.9,"B344","",2.93,15,15,87,49,"26",NA,"",NA,2267
"12488",12488,"MATH147","B341","2",2,"B344","",2.6,10,10,87,49,"26",NA,"",NA,2267
"12489",12489,"MATH070","B012","3.5",3.5,"B342","",3.25,15,15,79,54,"20",NA,"",NA,551
"12490",12490,"MATH072","B013","2.9",2.9,"B342","",3.03,16,16,79,54,"20",NA,"",NA,551
"12491",12491,"MATH097","B014","0.7",0.7,"B342","",1.8,15,15,79,54,"20",NA,"",NA,551
"12492",12492,"MATH&141","B014","3.1",3.1,"B232","",3.44,8,8,87,31,"24",NA,"",NA,5492
"12493",12493,"MATH&142","B121","2.1",2.1,"B232","",2.1,5,5,87,31,"24",NA,"",NA,5492
"12494",12494,"MATH&151","B122","1.5",1.5,"B232","",1.1,15,10,87,31,"24",NA,"",NA,5492
"12495",12495,"MATH&151","B123","1.2",1.2,"B232","",1.97,15,15,87,31,"24",NA,"",NA,5492
"12496",12496,"MATH&151","B124","3",3,"B232","",3.07,15,15,87,31,"24",NA,"",NA,5492
"12497",12497,"MATH072","B012","2.7",2.7,"B232","",3.23,15,15,87,31,"24",NA,"",NA,5492
"12498",12498,"MATH097","B013","3.4",3.4,"B232","",3.3,15,15,87,31,"24",NA,"",NA,5492
"12499",12499,"MATH062","B013","0",0,"B231","2/9/2011",0,10,0,50,28,"21",NA,"",NA,7989
"12500",12500,"MATH062","B122","0",0,"B231","12/7/2011",0.63,11,1,50,28,"21",NA,"",NA,7989
"12501",12501,"MATH&141","B012","W",NA,"B234","10/22/2010",0,16,0,97,NA,"82",59,"",NA,383
"12502",12502,"MATH&141","B013","2.3",2.3,"B234","",2.3,5,5,97,NA,"82",59,"",NA,383
"12503",12503,"MATH&141","B233","4",4,"B344","",4,18,18,66,NA,"60",NA,"",NA,4412
"12504",12504,"MATH072","B124","4",4,"B344","",3.9,15,15,66,NA,"60",NA,"",NA,4412
"12505",12505,"MATH097","B232","3.8",3.8,"B344","",3.89,17,17,66,NA,"60",NA,"",NA,4412
"12506",12506,"MATH&141","B123","0",0,"B344","3/22/2012",1.03,16,5,79,49,"19",NA,"",NA,4921
"12507",12507,"MATH&141","B124","0",0,"B344","6/14/2012",1.5,12,7,79,49,"19",NA,"",NA,4921
"12508",12508,"MATH&141","B232","1.5",1.5,"B344","",1.75,12,6,79,49,"19",NA,"",NA,4921
"12509",12509,"MATH062","B012","3.8",3.8,"B344","",2.9,15,15,79,49,"19",NA,"",NA,4921
"12510",12510,"MATH070","B013","3.6",3.6,"B344","",2.85,13,13,79,49,"19",NA,"",NA,4921
"12511",12511,"MATH072","B014","3",3,"B344","",3.29,12,12,79,49,"19",NA,"",NA,4921
"12512",12512,"MATH097","B122","2.8",2.8,"B344","",1.92,12,10,79,49,"19",NA,"",NA,4921
"12513",12513,"MATH072","B013","3.7",3.7,"B123","",2.77,15,15,91,NA,"50",NA,"",NA,5991
"12514",12514,"MATH097","B014","1.2",1.2,"B123","",2.73,15,15,91,NA,"50",NA,"",NA,5991
"12515",12515,"MATH072","B011","3.7",3.7,"B012","",3.7,5,5,NA,NA,"50",NA,"",NA,5375
