"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"5388",5388,"MATH147","B341","2",2,"B341","",2,5,5,95,NA,"27",NA,"",NA,2132,TRUE,TRUE,FALSE,2
"5389",5389,"MATH062","B124","3.7",3.7,"B232","",3.5,15,15,76,28,"15",NA,"",NA,10228,TRUE,TRUE,TRUE,3.7
"5390",5390,"MATH070","B232","W",NA,"B232","10/12/2012",0,10,0,76,28,"15",NA,"",NA,10228,FALSE,FALSE,FALSE,-0.1
"5391",5391,"MATH072","B011","0",0,"B012","8/1/2010",0,5,0,97,NA,"30",NA,"",NA,9602,FALSE,FALSE,FALSE,0
"5392",5392,"MATH072","B012","0",0,"B232","12/3/2010",3.5,10,5,94,17,"42",NA,"",NA,5130,FALSE,FALSE,FALSE,0
"5393",5393,"MATH&107","B014","2",2,"B232","",2.6,10,10,99,NA,"37",NA,"",NA,11766,TRUE,TRUE,FALSE,2
"5394",5394,"MATH097","B013","2.2",2.2,"B232","",2.75,10,10,99,NA,"37",NA,"",NA,11766,TRUE,TRUE,FALSE,2.2
"5395",5395,"MATH070","B011","3.7",3.7,"B121","",3.7,5,5,94,75,"22",NA,"",NA,8301,TRUE,TRUE,TRUE,3.7
"5396",5396,"MATH072","B012","3.5",3.5,"B121","",2.75,10,10,94,75,"22",NA,"",NA,8301,TRUE,TRUE,TRUE,3.5
"5397",5397,"MATH097","B013","4",4,"B121","",3.8,10,10,94,75,"22",NA,"",NA,8301,TRUE,TRUE,TRUE,4
"5398",5398,"MATH147","B014","2.5",2.5,"B121","",3.11,18,18,94,75,"22",NA,"",NA,8301,TRUE,TRUE,TRUE,2.5
"5399",5399,"MATH147","B013","3",3,"B014","",3.3,20,20,99,NA,"74",NA,"",NA,4645,TRUE,TRUE,TRUE,3
"5400",5400,"MATH&151","B011","W",NA,"B343","7/22/2010",1.7,10,5,87,NA,"51",NA,"",NA,6074,FALSE,FALSE,FALSE,-0.1
"5401",5401,"MATH&107","B233","3.3",3.3,"B342","",2.53,15,15,77,49,"22",NA,"",280,4758,TRUE,TRUE,TRUE,3.3
"5402",5402,"MATH072","B231","3.6",3.6,"B342","",3.62,21,21,77,49,"22",NA,"",280,4758,TRUE,TRUE,TRUE,3.6
"5403",5403,"MATH097","B232","2.6",2.6,"B342","",3.05,20,20,77,49,"22",NA,"",280,4758,TRUE,TRUE,TRUE,2.6
"5404",5404,"MATH072","B233","1.4",1.4,"B234","",0.7,10,5,88,38,"28",NA,"",NA,10073,TRUE,FALSE,FALSE,1.4
"5405",5405,"MATH062","B011","1.9",1.9,"B122","",2.2,22,15,49,20,"15",NA,"",NA,9339,TRUE,FALSE,FALSE,1.9
"5406",5406,"MATH&107","B013","2.9",2.9,"B233","",3.3,15,15,78,34,"52",NA,"",NA,11007,TRUE,TRUE,TRUE,2.9
"5407",5407,"MATH&107","B011","0",0,"B012","8/9/2010",2,10,5,85,80,"95",28,"",NA,11062,FALSE,FALSE,FALSE,0
"5408",5408,"MATH&107","B012","1.1",1.1,"B012","",1.6,10,10,85,80,"95",28,"",NA,11062,TRUE,FALSE,FALSE,1.1
"5409",5409,"MATH&141","B013","2.2",2.2,"B013","",2.64,17,17,97,NA,"99",66,"",450,5269,TRUE,TRUE,FALSE,2.2
"5410",5410,"MATH072","B342","4",4,"B344","",3.9,15,15,99,NA,"57",NA,"",NA,1852,TRUE,TRUE,TRUE,4
"5411",5411,"MATH097","B342","4",4,"B344","",3.9,15,15,99,NA,"57",NA,"",NA,1852,TRUE,TRUE,TRUE,4
"5412",5412,"MATH070","B012","4",4,"B122","",4,10,10,96,79,"16",NA,"",NA,12555,TRUE,TRUE,TRUE,4
