"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"13445",13445,"MATH070","B342","3.5",3.5,"B344","",3.1,12,12,86,30,"16",NA,"",NA,9026,TRUE,TRUE,TRUE,3.5
"13446",13446,"MATH&141","B121","2.8",2.8,"B232","",2.8,5,5,99,NA,"",NA,"",NA,2475,TRUE,TRUE,TRUE,2.8
"13447",13447,"MATH&142","B122","0",0,"B232","11/28/2011",0,20,0,99,NA,"",NA,"",NA,2475,FALSE,FALSE,FALSE,0
"13448",13448,"MATH&141","B234","3.3",3.3,"B234","",3.3,5,5,89,NA,"",54,"",NA,276,TRUE,TRUE,TRUE,3.3
"13449",13449,"MATH072","B234","1.7",1.7,"B344","",2.37,13,13,86,NA,"45",NA,"",NA,1093,TRUE,FALSE,FALSE,1.7
"13450",13450,"MATH072","B341","4",4,"B344","",4,6,6,86,NA,"45",NA,"",NA,1093,TRUE,TRUE,TRUE,4
"13451",13451,"MATH&107","B234","2.7",2.7,"B343","",3.02,13,13,91,NA,"",NA,"",NA,1388,TRUE,TRUE,TRUE,2.7
"13452",13452,"MATH&141","B231","0",0,"B342","8/16/2012",1.55,10,5,99,NA,"77",58,"",NA,11891,FALSE,FALSE,FALSE,0
"13453",13453,"MATH&141","B232","0",0,"B342","12/12/2012",1.98,20,10,99,NA,"77",58,"",NA,11891,FALSE,FALSE,FALSE,0
"13454",13454,"MATH&141","B233","1.4",1.4,"B342","",2.34,18,18,99,NA,"77",58,"",NA,11891,TRUE,FALSE,FALSE,1.4
"13455",13455,"MATH097","B121","2",2,"B342","",2,5,5,99,NA,"77",58,"",NA,11891,TRUE,TRUE,FALSE,2
"13456",13456,"MATH&151","B121","3.8",3.8,"B231","",3.8,5,5,99,NA,"",NA,"99",NA,4903,TRUE,TRUE,TRUE,3.8
"13457",13457,"MATH062","B122","W",NA,"B123","11/10/2011",0,11,0,99,30,"16",NA,"",NA,2759,FALSE,FALSE,FALSE,-0.1
"13458",13458,"MATH072","B122","3.8",3.8,"B123","",3.23,20,20,88,NA,"58",NA,"",NA,7836,TRUE,TRUE,TRUE,3.8
"13459",13459,"MATH072","B122","3.5",3.5,"B124","",3.13,15,15,97,72,"29",NA,"",NA,5974,TRUE,TRUE,TRUE,3.5
"13460",13460,"MATH097","B123","1.6",1.6,"B124","",0.95,10,5,97,72,"29",NA,"",NA,5974,TRUE,FALSE,FALSE,1.6
"13461",13461,"MATH070","B232","2.5",2.5,"B343","",2.5,7,7,84,NA,"35",NA,"",NA,10689,TRUE,TRUE,TRUE,2.5
"13462",13462,"MATH072","B124","0.1",0.1,"B343","",0.68,13,3,84,NA,"35",NA,"",NA,10689,FALSE,FALSE,FALSE,0.1
"13463",13463,"MATH072","B234","0",0,"B343","4/8/2013",0,10,0,84,NA,"35",NA,"",NA,10689,FALSE,FALSE,FALSE,0
"13464",13464,"MATH&141","B124","3.2",3.2,"B232","",3.34,16,16,95,NA,"40",NA,"",NA,8492,TRUE,TRUE,TRUE,3.2
"13465",13465,"MATH&151","B232","3.4",3.4,"B232","",3.22,18,18,95,NA,"40",NA,"",NA,8492,TRUE,TRUE,TRUE,3.4
"13466",13466,"MATH072","B122","3.7",3.7,"B232","",3.6,15,15,95,NA,"40",NA,"",NA,8492,TRUE,TRUE,TRUE,3.7
"13467",13467,"MATH097","B123","4",4,"B232","",3.5,15,15,95,NA,"40",NA,"",NA,8492,TRUE,TRUE,TRUE,4
"13468",13468,"MATH072","B342","3.7",3.7,"B342","",3.73,15,15,94,NA,"27",NA,"",NA,8223,TRUE,TRUE,TRUE,3.7
"13469",13469,"MATH097","B342","3.6",3.6,"B342","",3.73,15,15,94,NA,"27",NA,"",NA,8223,TRUE,TRUE,TRUE,3.6
"13470",13470,"MATH072","B122","3",3,"B234","",2.6,10,10,84,NA,"37",NA,"",NA,9334,TRUE,TRUE,TRUE,3
"13471",13471,"MATH&151","B342","W",NA,"B342","11/12/2013",3.7,10,5,87,NA,"47",NA,"",NA,10290,FALSE,FALSE,FALSE,-0.1
"13472",13472,"MATH072","B234","0",0,"B234","5/29/2013",0.5,16,5,82,NA,"27",NA,"",NA,4362,FALSE,FALSE,FALSE,0
"13473",13473,"MATH062","B232","2.2",2.2,"B343","",2.08,18,18,50,24,"",NA,"",NA,10468,TRUE,TRUE,FALSE,2.2
"13474",13474,"MATH062","B234","2.5",2.5,"B343","",3.22,13,13,50,24,"",NA,"",NA,10468,TRUE,TRUE,TRUE,2.5
"13475",13475,"MATH070","B341","W",NA,"B343","7/14/2013",0,10,0,50,24,"",NA,"",NA,10468,FALSE,FALSE,FALSE,-0.1
"13476",13476,"MATH072","B231","2.5",2.5,"B232","",2.5,10,5,99,NA,"",NA,"",NA,769,TRUE,TRUE,TRUE,2.5
"13477",13477,"MATH072","B233","3.1",3.1,"B341","",2.68,20,20,91,NA,"42",NA,"",NA,11442,TRUE,TRUE,TRUE,3.1
"13478",13478,"MATH062","B123","3.3",3.3,"B344","",3.55,10,10,93,48,"18",NA,"",NA,3124,TRUE,TRUE,TRUE,3.3
"13479",13479,"MATH070","B231","2.9",2.9,"B344","",2.55,10,10,93,48,"18",NA,"",NA,3124,TRUE,TRUE,TRUE,2.9
"13480",13480,"MATH072","B232","2.5",2.5,"B344","",2.25,10,10,93,48,"18",NA,"",NA,3124,TRUE,TRUE,TRUE,2.5
"13481",13481,"MATH097","B234","1.5",1.5,"B344","",2.6,15,15,93,48,"18",NA,"",NA,3124,TRUE,FALSE,FALSE,1.5
"13482",13482,"MATH&141","B124","2.8",2.8,"B344","",3.47,15,15,87,NA,"34",NA,"",NA,374,TRUE,TRUE,TRUE,2.8
"13483",13483,"MATH072","B122","2.9",2.9,"B344","",3,11,11,87,NA,"34",NA,"",NA,374,TRUE,TRUE,TRUE,2.9
"13484",13484,"MATH097","B123","3.8",3.8,"B344","",3.75,10,10,87,NA,"34",NA,"",NA,374,TRUE,TRUE,TRUE,3.8
"13485",13485,"MATH&141","B123","1",1,"B234","",2.2,15,15,94,NA,"51",NA,"",457,6938,TRUE,FALSE,FALSE,1
"13486",13486,"MATH097","B122","2.9",2.9,"B234","",1.9,15,15,94,NA,"51",NA,"",457,6938,TRUE,TRUE,TRUE,2.9
"13487",13487,"MATH147","B124","4",4,"B342","",3.9,15,15,99,NA,"",60,"",NA,3086,TRUE,TRUE,TRUE,4
"13488",13488,"MATH&141","B122","3.9",3.9,"B234","",3.37,15,15,88,NA,"",57,"",NA,4914,TRUE,TRUE,TRUE,3.9
"13489",13489,"MATH&142","B123","2.8",2.8,"B234","",3.53,16,16,88,NA,"",57,"",NA,4914,TRUE,TRUE,TRUE,2.8
"13490",13490,"MATH&151","B124","3.4",3.4,"B234","",3.66,16,16,88,NA,"",57,"",NA,4914,TRUE,TRUE,TRUE,3.4
"13491",13491,"MATH070","B123","0",0,"B342","3/5/2012",2.2,15,10,99,81,"23",NA,"",NA,11382,FALSE,FALSE,FALSE,0
"13492",13492,"MATH147","B231","4",4,"B234","",3.8,15,15,99,NA,"90",82,"44",NA,8874,TRUE,TRUE,TRUE,4
"13493",13493,"MATH070","B012","2.6",2.6,"B232","",2.7,15,10,97,66,"22",NA,"",NA,11489,TRUE,TRUE,TRUE,2.6
"13494",13494,"MATH072","B013","0.1",0.1,"B232","",0.05,10,0,97,66,"22",NA,"",NA,11489,FALSE,FALSE,FALSE,0.1
"13495",13495,"MATH062","B124","2.8",2.8,"B232","",1.1,15,5,94,47,"19",NA,"",NA,11875,TRUE,TRUE,TRUE,2.8
"13496",13496,"MATH&151","B014","3.7",3.7,"B341","",2.65,10,10,93,NA,"69",NA,"",NA,4614,TRUE,TRUE,TRUE,3.7
"13497",13497,"MATH147","B123","3.4",3.4,"B341","",3.77,15,15,93,NA,"69",NA,"",NA,4614,TRUE,TRUE,TRUE,3.4
"13498",13498,"MATH072","B012","1.6",1.6,"B014","",0.93,15,5,82,NA,"38",25,"",NA,1386,TRUE,FALSE,FALSE,1.6
"13499",13499,"MATH070","B012","0",0,"B013","11/17/2010",1.35,10,5,93,52,"20",NA,"",NA,9104,FALSE,FALSE,FALSE,0
"13500",13500,"MATH072","B012","3.7",3.7,"B124","",1.85,15,5,99,NA,"54",NA,"",NA,5732,TRUE,TRUE,TRUE,3.7
"13501",13501,"MATH097","B013","0.7",0.7,"B124","",2.11,19,19,99,NA,"54",NA,"",NA,5732,FALSE,FALSE,FALSE,0.7
"13502",13502,"MATH097","B123","0",0,"B124","",0,10,0,99,NA,"54",NA,"",NA,5732,FALSE,FALSE,FALSE,0
"13503",13503,"MATH&141","B014","1.8",1.8,"B234","",1.57,7,7,96,NA,"54",NA,"",378,12282,TRUE,FALSE,FALSE,1.8
"13504",13504,"MATH072","B012","4",4,"B234","",2.75,16,16,96,NA,"54",NA,"",378,12282,TRUE,TRUE,TRUE,4
"13505",13505,"MATH097","B013","4",4,"B234","",3.7,15,15,96,NA,"54",NA,"",378,12282,TRUE,TRUE,TRUE,4
"13506",13506,"MATH097","B013","1.5",1.5,"B014","",1.83,15,15,98,NA,"60",NA,"",NA,952,TRUE,FALSE,FALSE,1.5
"13507",13507,"MATH070","B012","2.7",2.7,"B121","",1.43,20,10,82,55,"21",NA,"",NA,4971,TRUE,TRUE,TRUE,2.7
"13508",13508,"MATH072","B013","2.8",2.8,"B121","",2.23,15,10,82,55,"21",NA,"",NA,4971,TRUE,TRUE,TRUE,2.8
"13509",13509,"MATH072","B012","4",4,"B122","",4,15,15,97,NA,"39",NA,"",NA,4710,TRUE,TRUE,TRUE,4
"13510",13510,"MATH097","B013","3.7",3.7,"B122","",3.6,15,15,97,NA,"39",NA,"",NA,4710,TRUE,TRUE,TRUE,3.7
"13511",13511,"MATH&141","B014","2.5",2.5,"B123","",2.95,10,10,NA,NA,"",NA,"",NA,5628,TRUE,TRUE,TRUE,2.5
"13512",13512,"MATH072","B012","3.7",3.7,"B123","",3.56,7,7,NA,NA,"",NA,"",NA,5628,TRUE,TRUE,TRUE,3.7
"13513",13513,"MATH097","B013","3.7",3.7,"B123","",3.6,10,10,NA,NA,"",NA,"",NA,5628,TRUE,TRUE,TRUE,3.7
"13514",13514,"MATH&107","B122","2.6",2.6,"B341","",3.43,15,15,88,NA,"54",NA,"",NA,2438,TRUE,TRUE,TRUE,2.6
"13515",13515,"MATH072","B013","3.9",3.9,"B341","",3.92,11,11,88,NA,"54",NA,"",NA,2438,TRUE,TRUE,TRUE,3.9
"13516",13516,"MATH097","B014","3.6",3.6,"B341","",3.8,15,15,88,NA,"54",NA,"",NA,2438,TRUE,TRUE,TRUE,3.6
"13517",13517,"MATH062","B014","2.8",2.8,"B344","",2.95,11,11,99,17,"16",NA,"",NA,9986,TRUE,TRUE,TRUE,2.8
"13518",13518,"MATH070","B122","W",NA,"B344","11/9/2011",3.1,12,7,99,17,"16",NA,"",NA,9986,FALSE,FALSE,FALSE,-0.1
"13519",13519,"MATH070","B123","W",NA,"B344","",0,12,0,99,17,"16",NA,"",NA,9986,FALSE,FALSE,FALSE,-0.1
"13520",13520,"MATH062","B014","0",0,"B122","3/28/2011",1.63,15,10,70,44,"16",NA,"",NA,12186,FALSE,FALSE,FALSE,0
"13521",13521,"MATH062","B121","0",0,"B122","8/9/2011",1.13,15,10,70,44,"16",NA,"",NA,12186,FALSE,FALSE,FALSE,0
"13522",13522,"MATH&107","B123","3.9",3.9,"B234","",3.73,15,15,87,46,"23",NA,"",NA,11208,TRUE,TRUE,TRUE,3.9
"13523",13523,"MATH062","B014","4",4,"B234","",4,12,12,87,46,"23",NA,"",NA,11208,TRUE,TRUE,TRUE,4
"13524",13524,"MATH072","B121","3.9",3.9,"B234","",3.87,15,15,87,46,"23",NA,"",NA,11208,TRUE,TRUE,TRUE,3.9
"13525",13525,"MATH097","B122","3.8",3.8,"B234","",3.78,16,16,87,46,"23",NA,"",NA,11208,TRUE,TRUE,TRUE,3.8
"13526",13526,"MATH062","B014","4",4,"B124","",3.85,10,10,95,47,"21",NA,"",NA,676,TRUE,TRUE,TRUE,4
"13527",13527,"MATH070","B121","4",4,"B124","",4,5,5,95,47,"21",NA,"",NA,676,TRUE,TRUE,TRUE,4
"13528",13528,"MATH072","B122","3.8",3.8,"B124","",3.9,10,10,95,47,"21",NA,"",NA,676,TRUE,TRUE,TRUE,3.8
"13529",13529,"MATH097","B123","3.6",3.6,"B124","",3.8,10,10,95,47,"21",NA,"",NA,676,TRUE,TRUE,TRUE,3.6
"13530",13530,"MATH072","B013","0.1",0.1,"B124","",0.94,14,8,90,87,"22",NA,"",NA,9724,FALSE,FALSE,FALSE,0.1
"13531",13531,"MATH072","B014","1.8",1.8,"B124","",1.47,17,10,90,87,"22",NA,"",NA,9724,TRUE,FALSE,FALSE,1.8
"13532",13532,"MATH070","B014","1.5",1.5,"B232","",1.5,5,5,74,NA,"28",NA,"",NA,10823,TRUE,FALSE,FALSE,1.5
"13533",13533,"MATH&141","B012","W",NA,"B231","10/8/2010",2.53,20,15,86,NA,"",38,"",NA,2054,FALSE,FALSE,FALSE,-0.1
"13534",13534,"MATH&141","B013","2.4",2.4,"B231","",3.07,15,15,86,NA,"",38,"",NA,2054,TRUE,TRUE,FALSE,2.4
"13535",13535,"MATH062","B014","2.1",2.1,"B233","",2.1,5,5,74,39,"16",NA,"",NA,11642,TRUE,TRUE,FALSE,2.1
"13536",13536,"MATH&141","B121","3.1",3.1,"B342","",3.35,10,10,84,NA,"47",NA,"",NA,1790,TRUE,TRUE,TRUE,3.1
"13537",13537,"MATH&142","B122","NC",NA,"B342","12/7/2011",3.55,15,10,84,NA,"47",NA,"",NA,1790,FALSE,FALSE,FALSE,-0.1
"13538",13538,"MATH&142","B341","2.5",2.5,"B342","",1.25,10,5,84,NA,"47",NA,"",NA,1790,TRUE,TRUE,TRUE,2.5
"13539",13539,"MATH072","B013","3.8",3.8,"B342","",3.7,15,15,84,NA,"47",NA,"",NA,1790,TRUE,TRUE,TRUE,3.8
"13540",13540,"MATH097","B014","3.3",3.3,"B342","",2.9,15,15,84,NA,"47",NA,"",NA,1790,TRUE,TRUE,TRUE,3.3
"13541",13541,"MATH&141","B124","3.4",3.4,"B233","",3.5,15,15,99,NA,"",NA,"",NA,1465,TRUE,TRUE,TRUE,3.4
"13542",13542,"MATH&142","B231","1.8",1.8,"B233","",1.4,10,10,99,NA,"",NA,"",NA,1465,TRUE,FALSE,FALSE,1.8
"13543",13543,"MATH147","B233","0",0,"B233","3/2/2013",0,10,0,99,NA,"",NA,"",NA,1465,FALSE,FALSE,FALSE,0
"13544",13544,"MATH072","B012","3.4",3.4,"B232","",3.3,15,15,99,NA,"29",NA,"",NA,7372,TRUE,TRUE,TRUE,3.4
"13545",13545,"MATH097","B013","3.6",3.6,"B232","",3.53,18,18,99,NA,"29",NA,"",NA,7372,TRUE,TRUE,TRUE,3.6
"13546",13546,"MATH147","B014","2.5",2.5,"B232","",2.3,15,15,99,NA,"29",NA,"",NA,7372,TRUE,TRUE,TRUE,2.5
"13547",13547,"MATH&141","B122","1.4",1.4,"B231","",2.43,15,15,77,NA,"32",NA,"",NA,9964,TRUE,FALSE,FALSE,1.4
"13548",13548,"MATH072","B012","2.5",2.5,"B231","",2.45,15,15,77,NA,"32",NA,"",NA,9964,TRUE,TRUE,TRUE,2.5
"13549",13549,"MATH097","B013","2.9",2.9,"B231","",2.63,15,15,77,NA,"32",NA,"",NA,9964,TRUE,TRUE,TRUE,2.9
"13550",13550,"MATH147","B014","0.6",0.6,"B231","",2,15,10,77,NA,"32",NA,"",NA,9964,FALSE,FALSE,FALSE,0.6
"13551",13551,"MATH147","B124","1.7",1.7,"B231","",1.69,16,16,77,NA,"32",NA,"",NA,9964,TRUE,FALSE,FALSE,1.7
"13552",13552,"MATH&107","B234","1",1,"B342","",1.9,13,8,87,NA,"65",NA,"",NA,8340,TRUE,FALSE,FALSE,1
"13553",13553,"MATH097","B233","2.5",2.5,"B342","",2.07,12,7,87,NA,"65",NA,"",NA,8340,TRUE,TRUE,TRUE,2.5
"13554",13554,"MATH062","B123","0",0,"B124","3/15/2012",0.9,10,5,74,42,"23",NA,"",NA,512,FALSE,FALSE,FALSE,0
"13555",13555,"MATH070","B013","3.6",3.6,"B014","",3.48,20,20,93,72,"23",NA,"",NA,5020,TRUE,TRUE,TRUE,3.6
"13556",13556,"MATH072","B121","4",4,"B344","",4,15,15,83,NA,"31",NA,"",NA,12577,TRUE,TRUE,TRUE,4
"13557",13557,"MATH097","B231","4",4,"B344","",3.93,15,15,83,NA,"31",NA,"",NA,12577,TRUE,TRUE,TRUE,4
"13558",13558,"MATH072","B012","3.3",3.3,"B014","",2.4,15,15,70,NA,"39",27,"",NA,7910,TRUE,TRUE,TRUE,3.3
"13559",13559,"MATH&141","B123","2.9",2.9,"B344","",3.13,15,15,89,NA,"95",42,"",NA,4704,TRUE,TRUE,TRUE,2.9
"13560",13560,"MATH062","B012","3.3",3.3,"B344","",3.23,15,15,93,40,"22",NA,"",275,12432,TRUE,TRUE,TRUE,3.3
"13561",13561,"MATH070","B013","2.9",2.9,"B344","",1.45,15,5,93,40,"22",NA,"",275,12432,TRUE,TRUE,TRUE,2.9
"13562",13562,"MATH072","B014","0",0,"B344","6/6/2011",0,12,0,93,40,"22",NA,"",275,12432,FALSE,FALSE,FALSE,0
"13563",13563,"MATH&107","B012","1.7",1.7,"B124","",2.45,15,10,76,NA,"86",NA,"",NA,9100,TRUE,FALSE,FALSE,1.7
"13564",13564,"MATH072","B013","1",1,"B014","",2.3,15,10,81,NA,"31",NA,"",NA,636,TRUE,FALSE,FALSE,1
"13565",13565,"MATH072","B232","3.1",3.1,"B344","",3.1,5,5,84,NA,"45",NA,"",NA,346,TRUE,TRUE,TRUE,3.1
"13566",13566,"MATH097","B233","0",0,"B344","3/15/2013",0,5,0,84,NA,"45",NA,"",NA,346,FALSE,FALSE,FALSE,0
"13567",13567,"MATH097","B234","2.9",2.9,"B344","",3.35,10,10,84,NA,"45",NA,"",NA,346,TRUE,TRUE,TRUE,2.9
"13568",13568,"MATH072","B232","3.4",3.4,"B344","",3,10,10,55,53,"45",NA,"",463,4302,TRUE,TRUE,TRUE,3.4
"13569",13569,"MATH097","B233","0",0,"B344","3/15/2013",0,5,0,55,53,"45",NA,"",463,4302,FALSE,FALSE,FALSE,0
"13570",13570,"MATH097","B341","2.7",2.7,"B344","",2.7,5,5,55,53,"45",NA,"",463,4302,TRUE,TRUE,TRUE,2.7
"13571",13571,"MATH062","B012","1.2",1.2,"B234","",1.5,13,13,54,38,"19",NA,"",NA,6625,TRUE,FALSE,FALSE,1.2
"13572",13572,"MATH062","B013","2.2",2.2,"B234","3/17/2011",3.1,20,15,54,38,"19",NA,"",NA,6625,TRUE,TRUE,FALSE,2.2
"13573",13573,"MATH&107","B232","0",0,"B233","11/1/2012",0.5,15,5,71,32,"",NA,"",NA,7665,FALSE,FALSE,FALSE,0
"13574",13574,"MATH062","B123","3.9",3.9,"B233","",3.63,12,12,71,32,"",NA,"",NA,7665,TRUE,TRUE,TRUE,3.9
"13575",13575,"MATH072","B124","3.5",3.5,"B233","",3.47,15,15,71,32,"",NA,"",NA,7665,TRUE,TRUE,TRUE,3.5
"13576",13576,"MATH097","B231","3.3",3.3,"B233","",3,15,10,71,32,"",NA,"",NA,7665,TRUE,TRUE,TRUE,3.3
"13577",13577,"MATH&141","B233","3.4",3.4,"B234","",3.81,16,16,98,NA,"32",NA,"",NA,10004,TRUE,TRUE,TRUE,3.4
"13578",13578,"MATH&142","B234","3.5",3.5,"B234","",3.79,12,12,98,NA,"32",NA,"",NA,10004,TRUE,TRUE,TRUE,3.5
"13579",13579,"MATH072","B123","4",4,"B234","",3.85,13,13,98,NA,"32",NA,"",NA,10004,TRUE,TRUE,TRUE,4
"13580",13580,"MATH097","B124","4",4,"B234","",4,5,5,98,NA,"32",NA,"",NA,10004,TRUE,TRUE,TRUE,4
"13581",13581,"MATH&151","B013","1.1",1.1,"B123","",2.63,15,15,99,NA,"90",60,"51",NA,11314,TRUE,FALSE,FALSE,1.1
"13582",13582,"MATH&107","B234","3.6",3.6,"B344","",3.37,15,15,99,NA,"41",NA,"",NA,10249,TRUE,TRUE,TRUE,3.6
"13583",13583,"MATH097","B233","3.9",3.9,"B344","",2.97,15,15,99,NA,"41",NA,"",NA,10249,TRUE,TRUE,TRUE,3.9
"13584",13584,"MATH147","B341","2.7",2.7,"B344","",2.7,5,5,99,NA,"",NA,"",NA,8602,TRUE,TRUE,TRUE,2.7
"13585",13585,"MATH072","B013","2.3",2.3,"B013","",1.47,15,10,89,NA,"42",NA,"",NA,12291,TRUE,TRUE,FALSE,2.3
"13586",13586,"MATH062","B121","3.7",3.7,"B344","",3.4,10,10,65,29,"16",NA,"",NA,10944,TRUE,TRUE,TRUE,3.7
"13587",13587,"MATH070","B123","2.3",2.3,"B344","",2.8,10,10,65,29,"16",NA,"",NA,10944,TRUE,TRUE,FALSE,2.3
"13588",13588,"MATH070","B231","3.8",3.8,"B344","",3.85,10,10,65,29,"16",NA,"",NA,10944,TRUE,TRUE,TRUE,3.8
"13589",13589,"MATH072","B232","3",3,"B344","",3.3,10,10,65,29,"16",NA,"",NA,10944,TRUE,TRUE,TRUE,3
"13590",13590,"MATH097","B341","2.2",2.2,"B344","",2.95,10,10,65,29,"16",NA,"",NA,10944,TRUE,TRUE,FALSE,2.2
"13591",13591,"MATH147","B342","0",0,"B344","11/7/2013",1.8,10,5,65,29,"16",NA,"",NA,10944,FALSE,FALSE,FALSE,0
"13592",13592,"MATH062","B014","3.3",3.3,"B124","",2.23,15,15,61,28,"24",NA,"",NA,2569,TRUE,TRUE,TRUE,3.3
"13593",13593,"MATH097","B013","0",0,"B343","2/7/2011",0,5,0,85,NA,"39",NA,"",NA,791,FALSE,FALSE,FALSE,0
"13594",13594,"MATH097","B232","0",0,"B343","12/12/2012",0,10,0,85,NA,"39",NA,"",NA,791,FALSE,FALSE,FALSE,0
"13595",13595,"MATH&141","B123","3.6",3.6,"B124","",3.8,15,15,90,NA,"77",83,"72",NA,468,TRUE,TRUE,TRUE,3.6
"13596",13596,"MATH&142","B124","3",3,"B124","",3.59,17,17,90,NA,"77",83,"72",NA,468,TRUE,TRUE,TRUE,3
"13597",13597,"MATH&107","B122","2.1",2.1,"B233","",2.23,15,15,98,64,"25",NA,"",NA,8726,TRUE,TRUE,FALSE,2.1
"13598",13598,"MATH070","B013","3.3",3.3,"B233","",3.77,15,15,98,64,"25",NA,"",NA,8726,TRUE,TRUE,TRUE,3.3
"13599",13599,"MATH072","B014","3.2",3.2,"B233","",3.27,15,15,98,64,"25",NA,"",NA,8726,TRUE,TRUE,TRUE,3.2
"13600",13600,"MATH097","B121","2.5",2.5,"B233","",2.7,15,15,98,64,"25",NA,"",NA,8726,TRUE,TRUE,TRUE,2.5
"13601",13601,"MATH072","B012","3.2",3.2,"B122","",3.2,5,5,87,NA,"30",NA,"",NA,6825,TRUE,TRUE,TRUE,3.2
"13602",13602,"MATH097","B122","W",NA,"B122","11/9/2011",0,5,0,87,NA,"30",NA,"",NA,6825,FALSE,FALSE,FALSE,-0.1
"13603",13603,"MATH072","B013","0",0,"B014","2/11/2011",0,15,0,89,NA,"29",NA,"",NA,7353,FALSE,FALSE,FALSE,0
"13604",13604,"MATH072","B014","0",0,"B014","3/28/2011",0,12,0,89,NA,"29",NA,"",NA,7353,FALSE,FALSE,FALSE,0
"13605",13605,"MATH062","B122","0",0,"B123","9/18/2011",0,10,0,82,41,"15",NA,"",NA,1445,FALSE,FALSE,FALSE,0
"13606",13606,"MATH&142","B012","4",4,"B124","",4,15,15,NA,NA,"",NA,"",NA,11201,TRUE,TRUE,TRUE,4
"13607",13607,"MATH&151","B013","3.6",3.6,"B124","",3.77,22,22,NA,NA,"",NA,"",NA,11201,TRUE,TRUE,TRUE,3.6
"13608",13608,"MATH062","B233","3.7",3.7,"B233","",3.7,5,5,87,37,"22",NA,"",NA,5593,TRUE,TRUE,TRUE,3.7
"13609",13609,"MATH072","B013","3.3",3.3,"B341","",3.65,10,10,99,NA,"26",NA,"",NA,1030,TRUE,TRUE,TRUE,3.3
"13610",13610,"MATH097","B014","W",NA,"B341","4/12/2011",0,10,0,99,NA,"26",NA,"",NA,1030,FALSE,FALSE,FALSE,-0.1
"13611",13611,"MATH097","B121","1",1,"B341","",2.3,10,10,99,NA,"26",NA,"",NA,1030,TRUE,FALSE,FALSE,1
"13612",13612,"MATH097","B122","W",NA,"B341","11/9/2011",0,10,0,99,NA,"26",NA,"",NA,1030,FALSE,FALSE,FALSE,-0.1
"13613",13613,"MATH097","B232","3.7",3.7,"B341","",3.35,10,10,99,NA,"26",NA,"",NA,1030,TRUE,TRUE,TRUE,3.7
"13614",13614,"MATH147","B234","3.9",3.9,"B341","",3.8,10,10,99,NA,"26",NA,"",NA,1030,TRUE,TRUE,TRUE,3.9
"13615",13615,"MATH070","B012","2.5",2.5,"B013","",2.9,15,10,99,NA,"27",NA,"",NA,2516,TRUE,TRUE,TRUE,2.5
"13616",13616,"MATH&141","B012","2",2,"B233","",2.57,15,15,87,NA,"81",59,"",NA,534,TRUE,TRUE,FALSE,2
"13617",13617,"MATH&142","B013","1",1,"B233","",2.35,17,17,87,NA,"81",59,"",NA,534,TRUE,FALSE,FALSE,1
"13618",13618,"MATH&142","B014","3.5",3.5,"B233","",3.5,5,5,87,NA,"81",59,"",NA,534,TRUE,TRUE,TRUE,3.5
"13619",13619,"MATH&151","B121","2.4",2.4,"B233","",2.8,10,10,87,NA,"81",59,"",NA,534,TRUE,TRUE,FALSE,2.4
"13620",13620,"MATH&151","B012","3.6",3.6,"B013","",3.6,5,5,99,NA,"",51,"",NA,5997,TRUE,TRUE,TRUE,3.6
"13621",13621,"MATH072","B014","2.1",2.1,"B232","",2.57,20,15,99,79,"29",NA,"",NA,385,TRUE,TRUE,FALSE,2.1
"13622",13622,"MATH097","B121","0",0,"B232","7/6/2011",0,15,0,99,79,"29",NA,"",NA,385,FALSE,FALSE,FALSE,0
"13623",13623,"MATH&141","B012","3.3",3.3,"B233","",3.15,10,10,92,NA,"76",68,"",NA,4572,TRUE,TRUE,TRUE,3.3
"13624",13624,"MATH&142","B014","0.9",0.9,"B233","",1.5,10,10,92,NA,"76",68,"",NA,4572,FALSE,FALSE,FALSE,0.9
"13625",13625,"MATH097","B231","3.6",3.6,"B233","",1.8,10,5,85,NA,"68",NA,"",NA,5629,TRUE,TRUE,TRUE,3.6
"13626",13626,"MATH097","B012","4",4,"B343","",3.9,10,10,NA,NA,"",NA,"",NA,5420,TRUE,TRUE,TRUE,4
"13627",13627,"MATH072","B012","3.5",3.5,"B124","",2.37,15,15,93,NA,"46",NA,"",NA,436,TRUE,TRUE,TRUE,3.5
"13628",13628,"MATH097","B013","0",0,"B124","2/18/2011",1.95,20,15,93,NA,"46",NA,"",NA,436,FALSE,FALSE,FALSE,0
"13629",13629,"MATH097","B014","0",0,"B124","5/27/2011",1.5,15,5,93,NA,"46",NA,"",NA,436,FALSE,FALSE,FALSE,0
"13630",13630,"MATH062","B013","4",4,"B344","",3.87,15,15,78,36,"17",NA,"",NA,9951,TRUE,TRUE,TRUE,4
"13631",13631,"MATH070","B123","3.5",3.5,"B344","",3.57,12,12,78,36,"17",NA,"",NA,9951,TRUE,TRUE,TRUE,3.5
"13632",13632,"MATH070","B013","3.7",3.7,"B344","",3.07,15,15,94,69,"15",NA,"",NA,7002,TRUE,TRUE,TRUE,3.7
